row,date,year,decade,newspaper,name,skill_type,context,full_content
13,5/25/1730,1730,1730,The New-York Gazette,Clause,Fiddle,"stockings, black shoes with buckles, he has a hat and cap and he can play upon the fiddle","Run away from Soloman Bates o f Elizabeth-Town a Negroe man named Clause, aged about 27 years old, has got with him a Homespun Coat of Linen and Wool, with Brass Buttons, an Ozenbrig Vest with black Buttons and Button­ holes, and an old striped vest, Leather Breeches, new homespun Worsted Stockings,"
16,5/8/1732,1732,1730,The New-York Gazette,Clauss,Fiddle,"fiddle tolerable well, he is of a middle stature. whoever takes up the said","Run Away from Solomon Baites of Elizabeth Town in NewJersey, a Negro Man named Clauss, about 28 years old, but he sometimes calls himself Nicolas, he formerly belonged to Daniel Bagley. He has taken with him a grey Home spun Drugget Coat trim’d with Black, a homespun Kearsey Vest, a Pair of Leather "
21,6/24/1734,1734,1730,The New-York Gazette,Stoffels,Violin,indian and half negro and the other a mulatto about 30 years of age & plays upon the violin and has it with him. whoever takes up & secures said fellow so that h,"Runaway last Wednesday from Judith Vincent in Monmouth County in New Jersey an Indian Man, named Stoffels, speaks good English, about Forty years of age, he is a House Carpenter, a Cooper, a W heelwright and is a good Butcher also. There is also two others gone along with him, one being half Indian "
23,10/24/1734,1734,1730,American Weekly Mercury (Philadelphia),,Fiddle,"negroes; he had on when he went away a blue coat; his name is wan, he plays on the fiddle","Run away the 26 of June last, from Samuel Leonard of Perth Amboy in New Jersey, a thick short Fellow, having but one Eye, he is half Indian half Negro tho’s as black as most Negroes; he had on when he went away a blue Coat; his name is Wan, he plays on the Fiddle and speaks good English and this cou"
36,8/27/1741,1741,1740,American Weekly Mercury (Philadelphia),Claus,Fiddle,"fiddler and took his fiddle with him, he uses the bow with his left hand. wh","Run away on the 23rd of August past from Philip French of New-Brunswick, in East-New-Jersey, a Negro Man named Claus, of middle Stature, yellowish Complexion, about 45 years of age, speaks Dutch and good English. He had on when he went away, a brown Kersey Wastecoat lined with red Peniston, a black "
46,9/8/1746,1746,1740,New-York Weekly Post-Boy,Frank,Fiddle,"a yellow complexion, down look, pretty much pock broken, pretends to play on the fiddle","Run away about 3 weeks ago, from Samuel Clowse, jun. at Jamaica on Long-Island, a Negro man named Frank, about 5 feet and a half high, of a yellow complexion, down Look, pretty much pock broken, pretends to play on the fiddle; had on when he went away an old blue Broadcloth Coat, the other Cloaths u"
49,6/15/1747,1747,1740,"The New-York Gazette, Revived in The Weekly Post-Boy",Isaac,Fiddle,"fiddle: took with him when he went away, a light colour’d broad cloath jacke","RUN away from Andrew Reed of Trenton, the 30th of May last, a likely Negro Man named Isaac, about 30 Years of Age, of a middle Stature, and well set; he can play upon a Fiddle: Took with him when he went away, a light colour’d Broad Cloath Jacket, and a Drugget One about the same Colour, a Pair of L"
61,7/11/1748,1748,1740,"The New-York Gazette, Revived in The Weekly Post-Boy",Robbin,Fiddle,"and thick legs, about 28, talks good english, can read and write and plays on the fiddle","Run away from his master Eleazer Tyng at Dunstable the 26th of May inst, a Negro Man servant called Robbin, almost the complexion of an Indian, short thick square shouldered fellow, a very short neck and thick legs, about 28, talks good English, can read and write and plays on the fiddle, he was bor"
65,10/24/1748,1748,1740,"The New-York Gazette, Revived in The Weekly Post-Boy",,Drum,"rtnight ago, a negro man jack, 5 feet 8 inches, speaks hoarse and was drummer aboard the ship brave-hawk. had on when he went away a light-coloured","Run away from the subscriber about a fortnight ago, a Negro Man Jack, 5 feet 8 inches, speaks hoarse and was Drummer aboard the Ship Brave-Hawk. Had on when he went away a light-coloured jacket, double breasted, a speckled shirt striped Holland trowsers, new Worsted Cap, an old Felt Hat and Shoes an"
74,7/10/1749,1749,1740,"The New-York Gazette, Revived in The Weekly Post-Boy",Tony,Fiddle,"fiddle. whoever takes up and secures him again, so that his master shall hav","Run away from Cornelius Vandervere of Middletown in New-Jersey, a Negro Fellow named Tony: Had on when he went away, a coarse Jacket and Linnen Breeches, an old Felt Hat, and old Ozenbrigs Shirt. He is a middle-sized Fellow, pretty full faced; can do all manner of Farmer’s Labour and can play pretty"
89,5/9/1751,1751,1750,The Pennsylvania Gazette (Philadelphia),Tom,Fiddle,"ge, short, well-set, thick lips, flat-nose, black curled hair and can play well on the fiddle","Run-away in July last, from Nicolas Everson, living in EastNew-Jersey, two miles from Perth Amboy ferry, A Mullatto Negroe named Tom, about 37 Years of age, short, well-set, thick lips, flat-nose, black curled hair and can play well on the fiddle; Had on when he went away, a red-coloured watch-coat,"
98,6/12/1752,1752,1750,"The New-York Gazette, Revived in The Weekly Post-Boy",Anthony,Violin,"ellow, named anthony, with thick lips, is of a yellow complexion, and plays on the violin: whoever takes up the said negro, and secures him, so that his master","Run away, on the 2nd of this Instant June from DANIEL LAWRENCE, of Flushing, on Long Island, a short thick Negro Fellow, named Anthony, with thick lips, is of a yellow Complexion, and plays on the Violin: Whoever takes up the said Negro, and secures him, so that his Master may have him again, and gi"
109,12/3/1753,1753,1750,"The New-York Gazette: or, The Weekly Post-Boy",,Violin,"heck’d woollen, an old beaver or castor hat, speaks good english, and plays well on the violin. w hoever takes up said mullato, and brings him to his master, or sec","Run away the 12th Instant November, at night, from PATRICK MOTT, of Hempstead, on Long Island; a Mullato Fellow Named Tom, is about 30 years of age, and is a short well-set Fellow, about 5 feet and a H alf high, full fac’d, with black curl’d hair: Had on when he went away, a brown homespun Coat and "
116,3/3/1755,1755,1750,"The New-York Gazette: or, The Weekly Post-Boy",Tom,Fiddle,", pock-broken, about 5 feet 10 inches high, a well set likely fellow, plays well on the fiddle","Run away from the Heirs of Barent Van Cleek, of Poughkeepsie, deceased on Tuesday the 23rd Instant March, a Mulatto colour’d Man Slave named Tom, pock-broken, about 5 feet 10 inches high, a well set likely Fellow, plays well on the Fiddle, and can read and write; perhaps he may have a false Pass: Ha"
118,6/23/1755,1755,1750,"The New-York Gazette: or, The Weekly Post-Boy",Tom,Violin,"ll of freckles, talks english and dutch, can read, write, and cypher, play well on the violin: whoever takes up said negro, and secures him in any goal shall recei","A Mulatto Negro named Tom, Run away from Joseph Harris, of Beekman’s Precinct, in Duchess County, being the same Fellow formerly advertised, that then belonged to the Heirs of Barent Van Cleek, deceased and a reward offered by Mynder Viele and Leonard Van Cleek, who since sold him to said Harris; he"
131,4/15/1756,1756,1750,The Pennsylvania Gazette (Philadelphia),Cato,Fiddle,"nd pretends to be free, speaks english as well as if country bom, and plays on the fiddle","Runaway from the subscriber living at Middletown, in EastNew-Jersey, the 9th of January last, a Negro man named Cato, alias Toby, aged about 30 years, a lusty well set fellow, full fac’d: Had on when he went away a plain-made Bear-skin coat, with flat Metal Buttons, a white woollen vest; wool hat an"
144,12/13/1756,1756,1750,The New-York Gazette: or The Weekly Post-Boy,Tom,Fiddle,"fiddle.—can read, write and cypher and has some freckles. he first listed hi","Run away from Joseph Harris, of Beekman’s Precinct, in Dutchess County, on the 3rd of September last, a Mulatto Fellow named Tom, about 5 feet eight inches high, is thick and well set, can talk good Dutch and English, and can play very well upon the fiddle.—can read, write and cypher and has some Fr"
145,1/31/1757,1757,1750,"The New-York Gazette: or, The Weekly Post-Boy",Joe,Fiddle,fiddler and when he went away he took his fiddle and a bundle of cloth. whoe,"Run away from Caleb Ferris of East-Chester, in the Province of New York, sometime before last Christmas; a lusty likely man slave named Joe, aged about 25 years old, he is of a yellow complexion being mixed Indian and Negro, much of an Indian countenance, he speaks altogether English and is well set"
151,6/6/1757,1757,1750,"The New-York Gazette: or, The Weekly Post-Boy",Jack,Fiddle,"med cuff, about 5 feet 3 inches high, had on homespun cloaths and can play upon the fiddle","Run away together the 26th of May last the following Negroes Men: from Jacob Mersereau, living in Richmond County Staten Island: A negro man named Jack, about 5 feet 9 inches high, speaks good English and Dutch, and is a Weaver by trade, had on when he went away a Homespun coat, a striped blue and w"
155,8/29/1757,1757,1750,"The New-York Gazette: or, The Weekly Post-Boy",Cato,Fiddle,fiddle and pretends to tell fortunes. it is supposed he has a forged pass. w,"Middletown, Monmouth County, East-New-Jersey, August 1, 1757. Runaway from the subscriber the first of January, twelve months past, a Negroe Man, named Cato, who has since his elopement changed his name several times: Had on when he went away a Pair of Buckskin breeches, fine brown linen shirt, a pl"
157,10/10/1757,1757,1750,"The New-York Gazette: or, The Weekly Post-Boy",Joe,Fiddle,"fiddler. he has a large leg and broad foot, and commonly wears sailors habit","Run away from Caleb Ferris, of East-Chester, a Negro Man slave called Joe, aged about 25 years. He is a lusty well fed Fellow every Way, about five Feet Ten inches, thick shoulder’d, full round Face, speaks altogether English, his Hair frizzled, being half Indian. He has been voyage privateering, an"
167,7/24/1758,1758,1750,"The New-York Gazette: or, The Weekly Post-Boy",York,Violin,"gh, of a slender make, talks pretty good english, is a good cook, can play on the violin, and shave, and dress wigs;— he had on when he went away, old shoes,","New-York, July 16, 1758. Run Away on the 10th of this inst. July from James Swan, of this city, pilot; a negro man named York, about 5 feet 8 inches high, of a slender make, talks pretty good English, is a good cook, can play on the violin, and shave, and dress wigs;— He had on when he went away, ol"
172,12/11/1758,1758,1750,"The New-York Gazette: or, The Weekly Post-Boy",,Violin,"vincial coat, red jacket, and wide trowsers; speaks good english, and plays well on the violin. whoever secures said negro, and brings him to me, shall have forty s","Run away from Benjamin Williams, of Newark in East New Jersey, on Monday the 4th Instant; A Negro Man, about 26 years of age, five feet seven inches high; had on when he went away, a Jersey Provincial Coat, red Jacket, and wide trowsers; speaks good english, and plays well on the Violin. Whoever sec"
176,5/28/1759,1759,1750,"Parker’s New-York Gazette; or, The Weekly Post-Boy",Peter,Fiddle,"fiddle: w hoever apprehends the above mentioned negroes, and secures them in","New-York, May 16, 1759. Run away from Nicholas Jones, and Luke Ryerson, of Paughquanack in the County of Bergen, on Sunday Night the 13th Instant, Two Negro Men Slaves, one named Peter, a lusty well set Fellow about 5 feet 6 inches high, had on when he went away, a linsey woolsey Jacket with Pewter "
194,2/16/1761,1761,1760,The New-York Gazette (Weyman’s),Mark,Fiddle,"fiddle, calls himself a free fellow, goes commonly with his head shaved, hat","RUN AWAY from the Subscriber, on the 20th of December last, a Negro or Mulatto Man Servant, aged about 28 Years, named Mark Edward, bom near Byram River, in the County of Westchester; a well set Fellow, near six Feet high, talks good English, plays well on a Fiddle, calls himself a free Fellow, goes"
200,1/14/1762,1762,1760,"Parker’s New-York Gazette; or, The Weekly Post-Boy",Tom,Fiddle,"d english and low dutch, is a very artful and insinuating fellow, and plays on the fiddle","Run away the 4th instant from David Anderson of North Castle, in New York Government, a Negro Man Servant named Tom, 28 years of age, 5 feet 6 inches high, or there about; well built, and very Square broad Shoulders, has a Scar on the right side of his Nose, another under his left Eye, also one on t"
